Date,Open,High,Low,Close,Volume
2006-07-31,5688,5729.58,5365.06,5681.97,4092331776
2006-08-31,5678,5886.77,5557.58,5859.56,5053352192
2006-09-30,5861.25,6031.54,5737.2,6004.33,4876677104
2006-10-31,6019.33,6304.77,5944.56,6268.91,4596704336
2006-11-30,6262.71,6497.06,6201,6309.18,5147706464
2006-12-31,6322.18,6629.33,6195.81,6596.91,3784359848
2007-01-31,6614.73,6805.08,6531.25,6789.1,5968353312
2007-02-28,6821.31,7040.2,6640.99,6715.43,5204280984
2007-03-31,6714.25,6965.83,6444.7,6917.02,7016554512
2007-04-30,6911.12,7436.29,6891.79,7408.87,4823642088
2007-05-31,7429.93,7895.71,7304.6,7883.04,6089044096
2007-06-30,7891.2,8131.73,7499.43,8007.31,6876473888
2007-07-31,7969.27,8151.56,7372.89,7584.14,5705140032
2007-08-31,7472.35,7659.72,7190.35,7638.16,5323494608
2007-09-30,7643.64,7882.18,7369.7,7861.5,5388431120
2007-10-31,7851.29,8063.83,7763.64,8019.22,5853483152
2007-11-30,8024.41,8038.41,7444.62,7870.52,6649040576
2007-12-31,7859.39,8117.79,7777.39,8067.31,4224798224
2008-01-31,8045.97,8100.64,6384.39,6851.75,6434261136
2008-02-29,6896.19,7079.74,6655.65,6748.13,3512761096
2008-03-31,6692.98,6720.16,6167.82,6534.97,3648856072
2008-04-30,6519.02,6966.47,6496.94,6948.82,3061669920
2008-05-31,6982.06,7231.86,6905.86,7096.79,2702019748
2008-06-30,7098.7,7102.05,6308.24,6418.32,3107071976
2008-07-31,6394.08,6577.1,5999.32,6479.56,3931671936
2008-08-31,6461.01,6626.7,6219.1,6422.3,2626629652
2008-09-30,6400.85,6553.9,5658.2,5831.02,4644012736
2008-10-31,5865.08,5876.93,4014.6,4987.97,8597750080
2008-11-30,5053.94,5302.57,4034.96,4669.44,3294708832
2008-12-31,4653.12,4850.39,4304.03,4810.2,3033000800
2009-01-31,4856.85,5111.02,4067.43,4338.35,3164270288
2009-02-28,4309.17,4688.59,3764.69,3843.74,2815267128
2009-03-31,3817.51,4272.12,3588.89,4084.76,3475893045
2009-04-30,4074.79,4837.05,3997.46,4769.45,2918125614
2009-05-31,4790.03,5060.76,4653.25,4940.82,2478791953
2009-06-30,4992.1,5177.59,4669.8,4808.64,2199589301
2009-07-31,4820.61,5396.95,4524.01,5332.14,2117383986
2009-08-31,5330.87,5575.53,5158.6,5464.61,1808274064
2009-09-30,5479.35,5760.83,5263.11,5675.16,2445835134
2009-10-31,5681.88,5888.21,5394.8,5414.96,2839360549
2009-11-30,5410.61,5843.27,5312.64,5625.95,2328656797
2009-12-31,5653.88,6026.69,5605.43,5957.43,1885637479
2010-01-31,5975.52,6094.26,5540.33,5608.79,2622377206
2010-02-28,5587.5,5743.89,5433.02,5598.46,2597843222
2010-03-31,5652.85,6203.5,5641.18,6153.55,2545565117
2010-04-30,6189.38,6341.52,6024.01,6135.7,2725526963
2010-05-31,6122.76,6276.8,5607.68,5964.33,3888514248
2010-06-30,5943.94,6330.81,5798.76,5965.52,2616461883
2010-07-31,5885.61,6253.64,5809.37,6147.97,2214408650
2010-08-31,6187.64,6386.97,5833.51,5925.22,2097355445
2010-09-30,5936.94,6339.97,5876.43,6229.02,2449547830
2010-10-31,6244.06,6668.54,6115.87,6601.37,2168915037
2010-11-30,6637.09,6907.61,6586.01,6688.49,2331507333
2010-12-31,6748.36,7087.84,6736.69,6914.19,1794678005
2011-01-31,6973.39,7180.15,6835.74,7077.48,2362321307
2011-02-28,7133.34,7441.82,7093.91,7272.32,2119345638
2011-03-31,7309.8,7356.33,6483.39,7041.31,2996883764
2011-04-30,7086.56,7514.69,6994.56,7514.46,2418035189
2011-05-31,7570.86,7600.41,7071.42,7293.69,3554795797
2011-06-30,7310.56,7378.35,6995.4,7376.24,3215360956
2011-07-31,7374.49,7523.53,7001.88,7158.77,3292693324
2011-08-31,7254.5,7282.01,5345.36,5784.85,5610800980
2011-09-30,5793.1,5794.5,4967.59,5502.02,4649823722
2011-10-31,5311.93,6430.6,5125.44,6141.34,3736558785
2011-11-30,5934.54,6192.25,5366.5,6088.84,4073300801
2011-12-31,6080.48,6170.04,5637.53,5898.35,2996362409
2012-01-31,5900.18,6574.19,5900.18,6458.91,3829221229
2012-02-29,6482.95,6971.03,6482.56,6856.08,3638816188
2012-03-31,6831.97,7194.33,6612.61,6946.83,3738004077
2012-04-30,6973.99,7081.06,6499.07,6761.19,3205428767
2012-05-31,6861.3,6875.87,6208.09,6264.38,3313192880
2012-06-30,6259.76,6427.49,5914.43,6416.28,3383953438
2012-07-31,6405.39,6835.19,6324.53,6772.26,3146666153
2012-08-31,6775.99,7105.43,6596.21,6970.79,2803906019
2012-09-30,6946.61,7478.53,6892.98,7216.15,3415170551
2012-10-31,7227.81,7447.81,7120.68,7260.63,2733818261
2012-11-30,7255.3,7442.6,6950.53,7405.5,2860482827
2012-12-31,7427.41,7682.9,7417.67,7612.39,1841737575
2013-01-31,7689.46,7871.79,7634.26,7776.05,2808976006
2013-02-28,7792.59,7860.57,7537.29,7741.7,2807628163
2013-03-31,7735.35,8074.47,7627.99,7795.31,3177620312
2013-04-30,7806.12,7965.9,7418.84,7913.71,2688530776
2013-05-31,7905.35,8553.74,7896.99,8348.84,2390645490
2013-06-30,8291.49,8395.56,7656.86,7959.22,1943970860
2013-07-31,8000.02,8415.33,7730.37,8275.97,2089886281
2013-08-31,8320.38,8444.52,8094.22,8103.15,1848214982
2013-09-30,8224.34,8767.97,8095.91,8594.4,2075406061
2013-10-31,8618.59,9070.17,8504.65,9033.92,1941610681
2013-11-30,9032.29,9424.07,8969.63,9405.3,1682449839
2013-12-31,9412.95,9594.35,8984.99,9552.16,1439765766
2014-01-31,9598.25,9794.05,9166.05,9306.48,2147613273
2014-02-28,9318.77,9720.33,9071.25,9692.08,1693660086
2014-03-31,9553.08,9634.82,8913.27,9555.91,2016100299
2014-04-30,9601.96,9721.5,9166.53,9603.23,1603707098
2014-05-31,9611.79,9970.77,9407.09,9943.27,1770768409
2014-06-30,9986.86,10050.98,9749.75,9833.07,1713614311
2014-07-31,9853.74,10032.28,9395.35,9407.48,1711877070
2014-08-31,9379.74,9598.46,8903.49,9470.17,1688401952
2014-09-30,9484.53,9891.2,9369.62,9474.3,1722102414
2014-10-31,9454.04,9520.97,8354.97,9326.87,2631739947
2014-11-30,9305.73,9992.67,9148.78,9980.85,1839387129
2014-12-31,9915.74,10093.03,9219.05,9805.55,1813077174
2015-01-31,9869.13,10810.57,9382.82,10694.32,2374515241
2015-02-28,10719.18,11401.66,10594.32,11401.66,1826408695
2015-03-31,11408.28,12219.05,11193.3,11966.17,2177948409
2015-04-30,11902.92,12390.75,11331.37,11454.38,1808747099
2015-05-31,11506.84,11920.31,11167.55,11413.82,1779420108
2015-06-30,11462.97,11635.85,10797.85,10944.97,2239351434
2015-07-31,11050.32,11802.37,10652.79,11308.99,1893585746
2015-08-31,11295.5,11669.86,9338.2,10259.46,2180550331
2015-09-30,10073.74,10512.61,9325.05,9660.44,2659219312
2015-10-31,9757.04,10886.98,9396.34,10850.14,2186073671
2015-11-30,10749.98,11430.87,10607.46,11382.23,1732704793
2015-12-31,11422.47,11430.38,10122.95,10743.01,1840168989
2016-01-31,10485.81,10485.91,9314.57,9798.11,2233594821
2016-02-29,9823.73,9827.1,8699.29,9495.4,2532410105
2016-03-31,9482.66,10112.17,9471.09,9965.51,2101602647
2016-04-30,9833.26,10474.38,9484.75,10038.97,1853010387
2016-05-31,10091.17,10365.24,9737,10262.74,1777347363
2016-06-30,10242.78,10340.84,9214.1,9680.09,2495784042
2016-07-31,9742.84,10381.9,9304.01,10337.5,1865426241
2016-08-31,10426.36,10802.32,10092.53,10592.69,1610860315
2016-09-30,10622.33,10780.42,10189.94,10511.02,2189282362
2016-10-31,10492.97,10827.72,10349.06,10665.01,1852130185
2016-11-30,10724.14,10802.39,10174.92,10640.3,2192403933
2016-12-31,10593.06,11481.66,10402.59,11481.06,1979961967
2017-01-31,11426.38,11893.08,11414.82,11535.31,1895972861
2017-02-28,11646.42,12031.11,11479.78,11834.41,1686342683
2017-03-31,11915.03,12313.29,11850.27,12312.87,2425447979
2017-04-30,12368.82,12486.29,11941.57,12438.01,1695541767
2017-05-31,12478.46,12841.66,12433.51,12615.06,2067551402
2017-06-30,12623.61,12951.54,12319,12325.12,2132366543
2017-07-31,12396.34,12676.52,12097.36,12118.25,1829111161
2017-08-31,12147.89,12336,11868.84,12055.84,1790458099
2017-09-30,12101.15,12828.86,12050.53,12828.86,1825577436
2017-10-31,12866.27,13255.38,12849.59,13229.57,1610404729
2017-11-30,13342.44,13525.56,12847.88,13023.98,2185792261
2017-12-31,13044.15,13338.91,12810.13,12917.64,1664167501
2018-01-31,12897.69,13596.89,12745.15,13189.48,2165598359
2018-02-28,13235.15,13301.41,12003.36,12435.85,2391099049
2018-03-31,12386.4,12459.9,11726.62,12096.73,2479496873
2018-04-30,11997.47,12647.16,11792.35,12612.11,1910767311
2018-05-31,12610.78,13204.31,12547.61,12604.89,2284934327
2018-06-30,12678.07,13170.05,12104.41,12306,2423607007
2018-07-31,12147.94,12886.83,12132.72,12805.5,2027563226
2018-08-31,12826.7,12833.11,12120.65,12364.06,1883702124
2018-09-30,12338.36,12458.3,11865.47,12246.73,2173022245
2018-10-31,12265.89,12373.29,11051.04,11447.51,2382619671
2018-11-30,11419.61,11689.96,11009.25,11257.24,2180746816
2018-12-31,11534.75,11566.97,10279.2,10558.96,1967055802
2019-01-31,10477.77,11321.62,10386.97,11173.1,2070961359
2019-02-28,11198.46,11556.87,10863.56,11515.64,1746304718
2019-03-31,11584.24,11823.29,11299.8,11526.04,2068056384
2019-04-30,11617.18,12376.06,11612.7,12344.08,1842059048
2019-05-31,12349.1,12435.67,11662.07,11726.84,2288978948
2019-06-30,11661.12,12438.37,11620.64,12398.8,1958110745
2019-07-31,12616.34,12656.05,12115.28,12189.04,2003859101
2019-08-31,12134.71,12254.03,11266.48,11939.28,2185336437
2019-09-30,11939.99,12494.25,11869.28,12428.08,1911051677
2019-10-31,12469.67,12986.49,11878.98,12866.79,2003564103
2019-11-30,12912.09,13374.27,12896.72,13236.38,1598514394
2019-12-31,13264.93,13425.85,12886.55,13249.01,1372865727
2020-01-31,13233.71,13640.06,12948.17,12981.97,1766265644
2020-02-29,13033.17,13795.24,11724.12,11890.35,2231747396
2020-03-31,12030.27,12272.99,8255.65,9935.84,4794863093
2020-04-30,9610.67,11235.57,9337.02,10861.64,2499808796
2020-05-31,10543.36,11813.14,10160.89,11586.85,2211890894
2020-06-30,11896.7,12913.13,11597.82,12310.93,2802075082
2020-07-31,12391.72,13313.9,12095.11,12313.36,1793669653
2020-08-31,12374.46,13221.82,12365.61,12945.38,1335493483
2020-09-30,13037.2,13460.46,12341.58,12760.73,1726349786
2020-10-31,12812.08,13151.8,11450.08,11556.48,1643479585
2020-11-30,11602.91,13445.11,11551.36,13291.16
2020-12-31,13371.66,13903.11,13009.48,13718.78
2021-01-31,13890.22,14131.52,13310.95,13432.87
2021-02-28,13559.94,14169.49,13518.45,13786.29
2021-03-31,13962.43,15029.7,13868.2,15008.34
2021-04-30,15053.77,15501.84,15032.52,15135.91
2021-05-31,15191.79,15568.6,14816.35,15421.13
2021-06-30,15513.13,15802.67,15309.44,15531.04
2021-07-31,15624.28,15810.68,15048.56,15544.39
2021-08-31,15631.7,16030.33,15492.58,15835.09
2021-09-30,15958.41,15981.7,15019.49,15260.69
2021-10-31,15041.6,15781,14818.71,15688.77
2021-11-30,15764.55,16290.19,15016.19,15100.13
2021-12-31,15233.37,15834.04,15101.71,15623.31
